run_id,timestamp,git_commit,git_dirty,config_hash,checkpoint_id,system,dataset,split,n,k,bw_ratio,channel,train_snr_db,test_snr_db,train_seed,channel_seed,lambda,source_codec,jpeg_quality,j2k_target_bytes,ldpc_rate,modulation,top1_acc,n_correct,n_test,psnr_db,ssim,bytes_sent,header_bytes,payload_bytes,papr_db,decode_failure_rate,infeasible_rate,coverage_rate,acc_given_delivery,test_subset,wall_clock_s,peak_vram_gb,classifier_variant,quantiser_bits,transmit_dim,entropy_stream_bytes,entropy_table_bytes,side_information_bytes,tb_crc_type,base_graph,lifting_size,num_codeblocks,filler_bits,effective_code_rate,model_param_count
1f53ff1aef2a0b8894269cd03f735a537afc88f6229a715d28b9d0d3d79fb029,2026-07-31T15:21:17+00:00,76e789c9f3d036427d5c1fe83bd95a61d655c5f0,false,18cbd93386d780d4655f81d360206ff7df6f40fdce45aa48e8bb5713096c63df,9c37362347a0203597d6e8e9d9a58fde30ba286f3cec9b4d2f800bd8a3256002,classical_fixed_mcs,imagenette160,val,1,1600,r_1_48,awgn,,18.0,0,0,,jpeg2000,,64,1/3,bpsk,0.0,0,1,,,64,,,,0.0,1.0,0.0,,,0.047171192999485356,,clean,,,,,,crc16,2,72,1,192,0.33,
d626e5b58f6defb06170ad57aeb07daf887042953f7139315527df8e5d9bb969,2026-07-31T15:21:17+00:00,76e789c9f3d036427d5c1fe83bd95a61d655c5f0,false,676f031107864d9e77192cae27c96b8de26451f95119f34d909e7a1cde94d350,9c37362347a0203597d6e8e9d9a58fde30ba286f3cec9b4d2f800bd8a3256002,classical_fixed_mcs,imagenette160,val,24,3200,r_1_24,awgn,,18.0,0,0,,jpeg2000,,1063,2/3,qam16,0.75,18,24,27.03426283004048,0.773634974254423,1063,157.0,892.5416666666666,2.6932629545529685,0.0,0.0,1.0,0.75,,25.205579277000652,,clean,,,,,,crc24a,1,208,2,576,0.67,
22fe8339103ec281c820a391afaef01802f1261143a9fd0e932cbe7d5116562a,2026-07-31T15:21:17+00:00,76e789c9f3d036427d5c1fe83bd95a61d655c5f0,false,cec413d8d819c2a3fc6540de1778bf284560de84d86e02647526b617752b8c92,9c37362347a0203597d6e8e9d9a58fde30ba286f3cec9b4d2f800bd8a3256002,classical_fixed_mcs,imagenette160,val,24,3200,r_1_24,awgn,,-8.0,0,0,,jpeg2000,,1063,2/3,qam16,0.125,3,24,,,1063,157.0,892.5416666666666,2.6932629545529685,1.0,0.0,0.0,,,22.367966593002166,,clean,,,,,,crc24a,1,208,2,576,0.67,
